Best L test valeu	Tempo total de execucao de cada geracao em segundos
-0.636035279059	126.235417


-0.543109374086	126.582788


-0.463174398381	110.652053


-0.391552214216	117.745663


-0.329693791271	112.350604


-0.276654611368	121.647892


-0.230580053543	111.284874


-0.189486016421	101.845612


-0.154447036007	108.60272


-0.124902925775	120.500532


-0.0990217364132	112.5939


-0.0763260375661	109.450074


-0.0584569707034	95.700791


-0.042620050553	98.722049


-0.0310455552217	99.838819


-0.0204013331929	107.839197


-0.0115440630824	104.003617


-0.00565443247531	93.910759


-0.000375858611606	100.478315


0.00347820925526	105.078122


0.00693075078299	104.302164


0.00977712928046	104.838266


0.0122696587704	98.846418


0.0129775999179	100.354592


0.0147715478507	100.241709


0.0161352010788	96.005028


0.0179086289802	108.396892


0.020768187201	93.155195


0.0221934078559	101.46098


0.0235405900142	102.927839


0.0236464226265	101.183298


0.0238073920465	93.572976


0.0238073920465	103.061818


0.0238073920465	98.984526


0.0238073920465	99.914973


0.0238073920465	106.678972


0.0238073920465	100.851984


0.0238073920465	95.487038


0.0238073920465	101.13043


0.0238073920465	103.413831


0.0238073920465	106.053987


0.0238073920465	104.989447


0.0238073920465	97.680054


0.0238431039433	101.909821


0.0263217604543	103.155405


0.0270402167684	105.246482


0.0276831847875	100.671596


0.027889706423	99.66484


0.02788970642
-0.636274173038	122.509665


-0.544197608602	119.243406


-0.463944466342	127.058758


-0.3945681795	121.62628


-0.332694066512	105.960589


-0.27885999762	113.446847


-0.231480005399	119.489887


-0.189593201583	112.863982


-0.15557296532	109.007255


-0.126175197067	105.869675


-0.099987986662	107.92497


-0.0783179814795	106.549984


-0.0594646585775	104.451636


-0.044080944094	108.426502


-0.0305056939306	105.198717


-0.0208235255186	109.094596


-0.0137447732886	115.310121


-0.00655291867057	103.832565


-0.00153665413784	104.605251


0.00193557928638	99.693949


0.00611411113414	98.542039


0.00754448645202	105.85417


0.00901881108798	98.679065


0.010739803018	99.599346


0.0120913167818	97.995359


0.0129237971109	100.04605


0.0140486640715	100.704413


0.0170127639288	108.415949


0.0183438905791	102.24766


0.0186636065487	99.303308


0.0189256937051	103.783038


0.0189256937051	115.306779


0.0189256937051	103.302279


0.0189256937051	99.282224


0.0189256937051	103.286461


0.0189256937051	106.063098


0.0189256937051	92.659151


0.0189256937051	102.525203


0.0189256937051	99.890877


0.0189256937051	103.985588


0.0189256937051	100.791762


0.0189256937051	104.707626


0.0189256937051	103.892252


0.0189256937051	104.583597


0.0189256937051	116.92495


0.0189256937051	106.233101


0.0189256937051	100.25429


0.0189256937051	110.118529


0.018925693705
-0.636455250245	120.880121


-0.544965936896	129.526877


-0.462988208572	123.691351


-0.392574553988	116.521968


-0.330856864605	118.742852


-0.27782655028	116.910353


-0.23049977027	115.612724


-0.189769070782	114.108679


-0.154669544962	114.419208


-0.122471319133	109.308102


-0.0977180418402	107.437882


-0.0761026988403	96.564503


