120.0500  17.4093 2000  1  1 2.6   42.870  0 57  20.27   
 120.1500  17.5093 2000  1  1 2.6   42.870  0 57  20.27
 129.8283  29.3900 2000  1  1 2.6   42.870  0 57  20.27
 128.8847  31.7163 2000  1  1 2.5    5.010  2  2  40.80
 130.9337  30.3592 2000  1  1 3.3   13.640  4 10  13.51
 121.1712  22.8392 2000  1  1 3.3    6.000  4 26  41.53
 141.0132  38.8777 2000  1  1 2.6    8.850  5 25  55.57
 153.1428  46.6965 2000  1  1 5.1   30.000  5 35  15.57
 129.5505  28.9225 2000  1  1 2.9   17.240  6 22  28.52
 142.7545  28.1328 2000  1  1 4.1   39.000  6 30   0.20
 144.7293  40.2030 2000  1  1 2.9   47.000  7 42   1.75
 142.2572  37.7960 2000  1  1 2.8   13.090  7 42  59.05
 129.5627  28.9230 2000  1  1 3.0   18.180  8 33  45.42
 132.1103  30.0022 2000  1  1 2.6   58.000  8 42  42.61
 134.5922  33.4058 2000  1  1 3.1   40.820  9  4  17.86
 148.1685  44.0287 2000  1  1 3.7    0.000  9 33  40.71
 135.5425  37.6502 2000  1  1 3.3  365.000 11 24   5.54
 141.6213  37.8852 2000  1  1 3.4   83.880 12  1  31.45
 130.1803  31.9827 2000  1  1 2.5   10.750 12 18   5.79
 142.1605  37.6590 2000  1  1 2.7   34.080 12 37  21.84
 142.1605  37.6590 2000  1  1 2.7   34.080 12 37  21.84
