SEGMENT
32.5350 -117.1227
32.5364 -117.1231
32.5378 -117.1233
32.5393 -117.1234
32.5408 -117.1236
32.5423 -117.1238
32.5441 -117.1243
32.5464 -117.1246
32.5475 -117.1250
32.5486 -117.1254
32.5501 -117.1260
32.5512 -117.1264
32.5524 -117.1269
32.5535 -117.1273
32.5544 -117.1272
32.5550 -117.1273
32.5553 -117.1274
32.5560 -117.1283
32.5571 -117.1292
32.5581 -117.1298
32.5592 -117.1303
32.5601 -117.1306
32.5613 -117.1309
32.5623 -117.1311
32.5640 -117.1313
32.5653 -117.1317
32.5668 -117.1319
32.5684 -117.1318
32.5697 -117.1317
32.5707 -117.1315
32.5722 -117.1316
32.5738 -117.1313
32.5746 -117.1312
32.5773 -117.1312
32.5796 -117.1309
32.5819 -117.1305
32.5846 -117.1305
32.5861 -117.1306
32.5874 -117.1306
32.5892 -117.1306
32.5915 -117.1306
32.5933 -117.1308
32.5953 -117.1310
32.5964 -117.1309
32.5978 -117.1309
32.5987 -117.1309
32.5999 -117.1309
32.6013 -117.1311
32.6030 -117.1313
32.6045 -117.1314
32.6056 -117.1316
32.6063 -117.1319
32.6069 -117.1327
32.6082 -117.1333
32.6091 -117.1340
32.6101 -117.1340
32.6109 -117.1341
32.6124 -117.1346
32.6139 -117.1350
32.6151 -117.1352
32.6162 -117.1354
32.6176 -117.1357
32.6183 -117.1358
32.6201 -117.1366
32.6236 -117.1377
32.6250 -117.1387
32.6265 -117.1396
32.6291 -117.1406
32.6309 -117.1418
32.6326 -117.1426
32.6342 -117.1433
32.6358 -117.1442
32.6372 -117.1450
32.6387 -117.1457
32.6400 -117.1466
32.6411 -117.1475
32.6424 -117.1483
32.6435 -117.1490
32.6451 -117.1493
32.6462 -117.1497
32.6473 -117.1506
32.6490 -117.1515
32.6504 -117.1526
32.6519 -117.1539
32.6538 -117.1548
32.6547 -117.1551
32.6560 -117.1560
32.6577 -117.1571
32.6592 -117.1581
32.6599 -117.1589
32.6605 -117.1597
32.6620 -117.1610
32.6622 -117.1614
